mukey,aws025wta,aws050wta,aws0100wta,aws0150wta,hydgrpdcd
49772,5.66,7.47,8.33,8.9,D
49773,5.66,7.47,8.33,8.9,D
49774,5.97,9.24,9.73,9.86,D
49775,7.7,10.33,12.78,14.68,D
49776,6.34,11.06,16.39,17.44,D
49777,6.34,11.06,16.39,17.44,D
49778,6.34,11.06,16.39,17.44,D
49779,6.99,9.55,11.4,12.46,D
49780,5.85,9.05,9.35,9.35,D
49781,5.85,9.05,9.35,9.35,D
49782,5.85,9.05,9.35,9.35,D
49783,7.26,8.78,8.78,8.78,D
49784,7.26,8.78,8.78,8.78,D
49785,6.22,9.72,10.48,11.16,D
49786,7.26,12.46,18.15,19.54,D
49787,7.22,12.28,17.79,19.18,D
49788,6.16,10.53,15.32,20.02,D
49789,8.13,16.02,27.76,30.64,D
49790,7.61,14.11,22.53,22.69,D
49791,7.11,13.99,27.04,39.53,D
49792,7.27,11.14,16.61,21.57,D
49793,5.44,10.14,14.22,16.47,C
49794,5.44,10.14,14.22,16.47,C
49795,5.44,10.14,14.22,16.47,C
49796,5.44,10.14,14.22,16.47,C
49797,5.62,9.14,11.23,12.54,C
49798,5.62,9.14,11.23,12.54,C
49799,5.62,9.14,11.23,12.54,C
49800,5.18,11.85,22.87,29.49,C
49801,4.65,6.69,9.92,13.02,C
49802,5.23,7.16,9.64,12.12,D
49803,5.43,7.28,8.93,10.45,D
49804,3.59,5.75,5.8,5.8,D
49805,3.59,5.75,5.8,5.8,D
49806,5.96,9.52,12.56,12.66,D
49807,5.96,9.52,12.56,12.66,D
49808,5.96,9.52,12.56,12.66,D
49809,7.12,11.55,15.55,15.55,D
49810,7.12,11.55,15.55,15.55,D
49811,5.5,6.8,6.8,6.8,
49812,6.07,9.36,11.44,11.6,D
49813,6.07,9.36,11.44,11.6,D
49814,6.07,9.36,11.44,11.6,D
49815,7.0,10.11,10.51,10.51,D
49816,7.0,10.09,10.45,10.45,D
49817,7.13,13.93,24.25,29.75,D
49818,6.7,10.45,12.68,14.48,D
49819,6.7,10.45,12.68,14.48,D
49820,6.84,13.29,20.6,25.3,D
49821,6.84,13.29,20.6,25.3,D
49822,8.09,16.18,26.82,27.67,D
49823,8.09,16.18,26.82,27.67,D
49825,6.07,12.01,23.01,33.46,D
49826,8.03,15.73,24.94,25.64,D
49827,8.1,13.53,19.67,20.37,D
49828,8.02,14.7,21.08,21.68,D
49829,8.02,14.7,21.08,21.68,D
49830,6.07,12.01,16.29,18.74,D
49831,6.07,12.01,16.29,18.74,D
49832,6.07,12.01,16.29,18.74,D
49833,6.18,12.24,19.68,25.86,D
49834,2.85,4.69,4.69,4.69,
49835,,,,,
49836,,,,,
49838,,,,,
49840,4.36,7.25,9.6,9.6,
49841,6.11,10.22,13.54,13.54,D
49842,6.31,10.05,12.64,12.82,D
49843,5.12,7.28,9.06,10.73,C
49844,7.93,15.23,19.19,19.19,D
49845,4.75,7.8,9.42,9.42,C
49847,3.53,5.24,7.68,9.92,A
49848,4.55,6.5,8.81,11.11,A
49849,6.11,10.37,14.09,14.49,D
49850,3.4,4.86,6.7,8.55,D
49851,5.56,7.63,8.09,8.47,D
49852,6.86,9.06,9.18,9.3,D
49853,5.35,7.8,8.85,9.35,D
